,2021 rank,City,State[c],2020 census,2020 land area.1,Location
278,279,Costa Mesa,California,111918,40.9 km2,33°40′N 117°55′W﻿ / ﻿33.66°N 117.91°W
279,280,Ventura[aa],California,110763,56.7 km2,34°16′N 119°15′W﻿ / ﻿34.26°N 119.25°W
280,281,Sparks,Nevada,108445,94.3 km2,39°33′N 119°44′W﻿ / ﻿39.55°N 119.73°W
281,282,Santa Maria,California,109707,59.1 km2,34°56′N 120°26′W﻿ / ﻿34.93°N 120.44°W
282,283,Sugar Land,Texas,111026,104.9 km2,29°35′N 95°37′W﻿ / ﻿29.59°N 95.61°W
283,284,Greeley,Colorado,108795,126.7 km2,40°25′N 104°46′W﻿ / ﻿40.41°N 104.76°W
284,285,South Fulton,Georgia,107436,220.7 km2,33°35′N 84°40′W﻿ / ﻿33.59°N 84.67°W
285,286,Dearborn,Michigan,109976,62.7 km2,42°19′N 83°13′W﻿ / ﻿42.31°N 83.21°W
286,287,Concord,North Carolina,105240,164.5 km2,35°24′N 80°36′W﻿ / ﻿35.40°N 80.60°W
287,288,Edison,New Jersey,107588,78.0 km2,40°31′N 74°25′W﻿ / ﻿40.52°N 74.41°W
288,289,Tyler,Texas,105995,148.9 km2,32°19′N 95°18′W﻿ / ﻿32.31°N 95.30°W
289,290,Sandy Springs,Georgia,108080,97.6 km2,33°56′N 84°22′W﻿ / ﻿33.93°N 84.36°W
290,291,West Covina,California,109501,41.4 km2,34°03′N 117°54′W﻿ / ﻿34.05°N 117.90°W
291,292,Green Bay,Wisconsin,107395,117.8 km2,44°31′N 87°59′W﻿ / ﻿44.52°N 87.98°W
292,293,Centennial,Colorado,108418,76.9 km2,39°35′N 104°52′W﻿ / ﻿39.59°N 104.86°W
293,294,Jurupa Valley,California,105053,111.1 km2,34°00′N 117°28′W﻿ / ﻿34.00°N 117.46°W
294,295,El Monte,California,109450,24.9 km2,34°04′N 118°01′W﻿ / ﻿34.07°N 118.02°W
295,296,Allen,Texas,104627,68.4 km2,33°05′N 96°40′W﻿ / ﻿33.09°N 96.66°W
296,297,Hillsboro,Oregon,106447,66.6 km2,45°31′N 122°56′W﻿ / ﻿45.52°N 122.93°W
297,298,Menifee,California,102527,120.4 km2,33°41′N 117°11′W﻿ / ﻿33.69°N 117.19°W
