city,state,2020 census,2020 land area,location,long,lat
Coral Springs,Florida,134394,59.3 km2,26°16′N 80°15′W﻿ / ﻿26.27°N 80.25°W,26.45,-80.41666666666667
Midland,Texas,132524,195.5 km2,32°01′N 102°07′W﻿ / ﻿32.02°N 102.11°W,32.03333333333333,-102.18333333333334
Norman,Oklahoma,128026,463.1 km2,35°14′N 97°20′W﻿ / ﻿35.24°N 97.34°W,35.4,-97.56666666666666
Athens[y],Georgia,127315,301.2 km2,33°56′N 83°22′W﻿ / ﻿33.94°N 83.37°W,34.56666666666667,-83.61666666666666
Santa Clara,California,127647,47.4 km2,37°22′N 121°58′W﻿ / ﻿37.36°N 121.96°W,37.6,-122.6
Columbia,Missouri,126254,172.2 km2,38°57′N 92°19′W﻿ / ﻿38.95°N 92.32°W,39.583333333333336,-92.53333333333333
Fargo,North Dakota,125990,129.0 km2,46°52′N 96°49′W﻿ / ﻿46.86°N 96.82°W,47.43333333333333,-97.36666666666666
Pearland,Texas,125828,126.1 km2,29°33′N 95°19′W﻿ / ﻿29.55°N 95.32°W,29.916666666666668,-95.53333333333333
Simi Valley,California,126356,107.5 km2,34°16′N 118°44′W﻿ / ﻿34.26°N 118.74°W,34.43333333333333,-119.23333333333333
Meridian,Idaho,117635,90.9 km2,43°37′N 116°23′W﻿ / ﻿43.61°N 116.39°W,44.016666666666666,-116.65
Topeka,Kansas,126587,159.0 km2,39°02′N 95°41′W﻿ / ﻿39.03°N 95.69°W,39.05,-96.15
Allentown,Pennsylvania,125845,45.6 km2,40°35′N 75°28′W﻿ / ﻿40.59°N 75.47°W,40.983333333333334,-75.78333333333333
Thousand Oaks,California,126966,143.2 km2,34°11′N 118°52′W﻿ / ﻿34.19°N 118.87°W,34.31666666666667,-119.45
Abilene,Texas,125182,276.4 km2,32°27′N 99°44′W﻿ / ﻿32.45°N 99.73°W,32.75,-100.21666666666667
Vallejo,California,126090,78.7 km2,38°06′N 122°16′W﻿ / ﻿38.10°N 122.26°W,38.166666666666664,-122.43333333333334
Concord,California,125410,79.3 km2,37°58′N 122°00′W﻿ / ﻿37.97°N 122.00°W,38.61666666666667,-122.0
Round Rock,Texas,119468,97.4 km2,30°31′N 97°40′W﻿ / ﻿30.52°N 97.66°W,30.866666666666667,-98.1
Arvada,Colorado,124402,100.8 km2,39°50′N 105°09′W﻿ / ﻿39.83°N 105.15°W,40.38333333333333,-105.25
Clovis,California,120124,65.8 km2,36°49′N 119°41′W﻿ / ﻿36.82°N 119.68°W,37.36666666666667,-120.13333333333334
Palm Bay,Florida,119760,223.8 km2,27°59′N 80°40′W﻿ / ﻿27.98°N 80.66°W,28.633333333333333,-81.1
Independence,Missouri,123011,202.0 km2,39°05′N 94°21′W﻿ / ﻿39.08°N 94.35°W,39.13333333333333,-94.58333333333333
Lafayette[z],Louisiana,121374,144.5 km2,30°12′N 92°01′W﻿ / ﻿30.20°N 92.02°W,30.333333333333332,-92.03333333333333
Ann Arbor,Michigan,123851,73.0 km2,42°16′N 83°44′W﻿ / ﻿42.27°N 83.73°W,42.45,-84.21666666666667
Rochester,Minnesota,121395,143.7 km2,44°01′N 92°28′W﻿ / ﻿44.01°N 92.47°W,44.016666666666666,-92.78333333333333
Hartford,Connecticut,121054,45.1 km2,41°46′N 72°41′W﻿ / ﻿41.76°N 72.68°W,42.266666666666666,-73.13333333333334
College Station,Texas,120511,132.6 km2,30°35′N 96°17′W﻿ / ﻿30.58°N 96.29°W,30.966666666666665,-96.48333333333333
Fairfield,California,119881,107.7 km2,38°15′N 122°02′W﻿ / ﻿38.25°N 122.03°W,38.416666666666664,-122.05
Wilmington,North Carolina,115451,133.1 km2,34°12′N 77°53′W﻿ / ﻿34.20°N 77.88°W,34.333333333333336,-78.46666666666667
North Charleston,South Carolina,114852,201.0 km2,32°55′N 80°04′W﻿ / ﻿32.91°N 80.06°W,33.516666666666666,-80.1
Billings,Montana,117116,116.0 km2,45°47′N 108°32′W﻿ / ﻿45.78°N 108.54°W,46.3,-108.9
West Palm Beach,Florida,117415,139.3 km2,26°44′N 80°07′W﻿ / ﻿26.74°N 80.12°W,27.233333333333334,-80.2
Berkeley,California,124321,26.9 km2,37°52′N 122°17′W﻿ / ﻿37.86°N 122.29°W,38.43333333333333,-122.48333333333333
Cambridge,Massachusetts,118403,16.6 km2,42°22′N 71°07′W﻿ / ﻿42.37°N 71.11°W,42.61666666666667,-71.18333333333334
Clearwater,Florida,117292,67.6 km2,27°58′N 82°46′W﻿ / ﻿27.97°N 82.76°W,28.616666666666667,-83.26666666666667
West Jordan,Utah,116961,83.7 km2,40°36′N 112°00′W﻿ / ﻿40.60°N 112.00°W,41.0,-112.0
Evansville,Indiana,117298,122.8 km2,37°59′N 87°32′W﻿ / ﻿37.98°N 87.53°W,38.63333333333333,-87.88333333333334
Richardson,Texas,119469,74.1 km2,32°58′N 96°42′W﻿ / ﻿32.97°N 96.70°W,33.61666666666667,-97.16666666666667
Broken Arrow,Oklahoma,113540,163.2 km2,36°02′N 95°47′W﻿ / ﻿36.03°N 95.78°W,36.05,-96.3
Richmond,California,116448,78.0 km2,37°57′N 122°22′W﻿ / ﻿37.95°N 122.36°W,38.583333333333336,-122.6
League City,Texas,114392,132.9 km2,29°29′N 95°06′W﻿ / ﻿29.49°N 95.10°W,29.816666666666666,-95.16666666666667
Manchester,New Hampshire,115644,85.7 km2,42°59′N 71°26′W﻿ / ﻿42.98°N 71.44°W,43.63333333333333,-71.73333333333333
Lakeland,Florida,112641,171.5 km2,28°03′N 81°57′W﻿ / ﻿28.05°N 81.95°W,28.083333333333332,-82.58333333333333
Carlsbad,California,114746,97.9 km2,33°07′N 117°17′W﻿ / ﻿33.12°N 117.28°W,33.2,-117.46666666666667
Antioch,California,115291,75.6 km2,37°58′N 121°47′W﻿ / ﻿37.97°N 121.79°W,38.61666666666667,-122.31666666666666
Westminster,Colorado,116317,81.8 km2,39°53′N 105°04′W﻿ / ﻿39.88°N 105.06°W,40.46666666666667,-105.1
High Point,North Carolina,114059,146.1 km2,35°59′N 79°59′W﻿ / ﻿35.99°N 79.99°W,36.65,-80.65
Provo,Utah,115162,108.0 km2,40°14′N 111°38′W﻿ / ﻿40.24°N 111.64°W,40.4,-112.06666666666666
Lowell,Massachusetts,115554,35.2 km2,42°38′N 71°19′W﻿ / ﻿42.63°N 71.32°W,43.05,-71.53333333333333
Elgin,Illinois,114797,98.4 km2,42°02′N 88°19′W﻿ / ﻿42.03°N 88.32°W,42.05,-88.53333333333333
Waterbury,Connecticut,114403,73.8 km2,41°33′N 73°02′W﻿ / ﻿41.55°N 73.03°W,41.916666666666664,-73.05
Springfield,Illinois,114394,158.2 km2,39°47′N 89°38′W﻿ / ﻿39.79°N 89.64°W,40.31666666666667,-90.06666666666666
Gresham,Oregon,114247,60.9 km2,45°30′N 122°26′W﻿ / ﻿45.50°N 122.44°W,45.833333333333336,-122.73333333333333
Murrieta,California,110949,87.0 km2,33°34′N 117°11′W﻿ / ﻿33.57°N 117.19°W,33.95,-117.31666666666666
Lewisville,Texas,111822,95.8 km2,33°02′N 96°59′W﻿ / ﻿33.04°N 96.98°W,33.06666666666667,-97.63333333333334
Las Cruces,New Mexico,111385,199.2 km2,32°19′N 106°47′W﻿ / ﻿32.32°N 106.78°W,32.53333333333333,-107.3
Lansing,Michigan,112644,101.3 km2,42°43′N 84°33′W﻿ / ﻿42.71°N 84.55°W,43.18333333333333,-84.91666666666667
Beaumont,Texas,115282,213.7 km2,30°05′N 94°08′W﻿ / ﻿30.08°N 94.14°W,30.133333333333333,-94.23333333333333
Odessa,Texas,114428,132.3 km2,31°53′N 102°20′W﻿ / ﻿31.88°N 102.34°W,32.46666666666667,-102.56666666666666
Pueblo,Colorado,111876,143.5 km2,38°16′N 104°37′W﻿ / ﻿38.26°N 104.61°W,38.43333333333333,-105.01666666666667
Peoria,Illinois,113150,124.3 km2,40°45′N 89°37′W﻿ / ﻿40.75°N 89.61°W,41.25,-90.01666666666667
Downey,California,114355,32.1 km2,33°56′N 118°08′W﻿ / ﻿33.93°N 118.13°W,34.55,-118.21666666666667
Pompano Beach,Florida,112046,62.2 km2,26°14′N 80°08′W﻿ / ﻿26.24°N 80.13°W,26.4,-80.21666666666667
Miami Gardens,Florida,111640,47.1 km2,25°56′N 80°14′W﻿ / ﻿25.94°N 80.24°W,26.566666666666666,-80.4
Temecula,California,110003,96.6 km2,33°29′N 117°08′W﻿ / ﻿33.49°N 117.13°W,33.81666666666667,-117.21666666666667
Everett,Washington,110629,86.0 km2,47°57′N 122°11′W﻿ / ﻿47.95°N 122.19°W,48.583333333333336,-122.31666666666666
